pid,name,price,vendor,stock
876984,Телевізор Vinga S43FHD25B,9999,Vinga,1
768058,Телевізор Samsung UE50AU7100UXUA,19799,Samsung,1
876988,Телевізор Vinga S55UHD25B,14999,Vinga,1
825830,"Телевізор Xiaomi Mi TV P1 50""",16999,Xiaomi,1
876987,Телевізор Vinga S50UHD25B,13499,Vinga,1
876983,Телевізор Vinga L43FHD25B,8999,Vinga,1
811558,Телевізор Kivi 43U740LB,13999,Kivi,1
819331,Телевізор Nokia 5500A,17799,Nokia,1
771167,Телевізор Vinga L32HD24B,4899,Vinga,1
807040,"Телевізор Xiaomi Mi TV P1 32""",8999,Xiaomi,1
